# 台湾网站IP地址列表
# 生成时间: 2026-01-07 18:48:27
# 总数量: 95

172.65.90.67  # www.gov.tw
103.252.115.53  # www.president.gov.tw
199.59.150.39  # www.ey.gov.tw
108.160.169.54  # www.mof.gov.tw
31.13.87.33  # www.mofa.gov.tw
163.29.130.159  # www.moj.gov.tw
13.107.246.50  # www.mnd.gov.tw
104.18.1.113  # www.moea.gov.tw
140.111.14.50  # www.moe.gov.tw
203.65.99.200  # www.mohw.gov.tw
104.244.43.248  # www.moi.gov.tw
203.74.221.4  # www.motc.gov.tw
172.66.140.98  # www.chinatimes.com
203.69.75.164  # www.libertytimes.com.tw
162.220.12.226  # www.appledaily.com.tw
108.160.167.147  # www.udn.com
157.240.9.36  # www.cna.com.tw
23.217.118.200  # www.tvbs.com.tw
202.160.128.203  # news.pts.org.tw
219.85.79.131  # www.ettoday.net
3.171.185.47  # www.setn.com
54.230.62.101  # www.nownews.com
103.252.114.61  # www.storm.mg
128.242.245.253  # www.thenewslens.com
157.240.0.18  # www.mirrormedia.mg
103.214.168.106  # www.pchome.com.tw
104.244.46.211  # 24h.pchome.com.tw
45.114.11.238  # www.momoshop.com.tw
76.223.84.192  # www.yahoo.com.tw
69.63.184.142  # tw.buy.yahoo.com
157.240.12.50  # www.books.com.tw
162.125.2.5  # www.rakuten.com.tw
122.147.41.16  # www.friday.tw
31.13.112.4  # www.eslite.com
60.248.150.182  # www.cathaybk.com.tw
175.184.243.207  # www.ctbcbank.com
61.220.45.161  # www.esunbank.com.tw
23.45.119.16  # www.bot.com.tw
69.171.224.36  # www.landbank.com.tw
60.244.119.144  # www.tcb-bank.com.tw
60.244.64.20  # www.taishinbank.com.tw
72.246.161.110  # www.megabank.com.tw
124.219.58.38  # www.hncb.com.tw
210.242.176.194  # www.scsb.com.tw
128.242.240.59  # www.cht.com.tw
124.29.151.21  # www.taiwanmobile.com
13.32.230.97  # www.fetnet.net
210.200.69.126  # www.aptg.com.tw
140.112.8.116  # www.ntu.edu.tw
140.116.248.21  # www.ncku.edu.tw
140.114.69.135  # www.nthu.edu.tw
75.126.164.178  # www.ccu.edu.tw
140.120.1.20  # www.nchu.edu.tw
140.117.13.241  # www.nsysu.edu.tw
140.135.201.3  # www.cycu.edu.tw
13.32.230.121  # www.fcu.edu.tw
203.145.221.108  # www.tku.edu.tw
210.242.36.6  # www.railway.gov.tw
128.242.240.253  # www.thsrc.com.tw
104.18.11.245  # www.metro.taipei
118.163.224.38  # www.krtco.com.tw
104.18.22.151  # www.taoyuan-airport.com
13.249.74.74  # www.asus.com
23.15.240.208  # www.acer.com
218.91.224.129  # www.htc.com
172.66.0.3  # www.tsmc.com
199.60.103.31  # www.mediatek.com
23.15.240.177  # www.msi.com
23.212.62.72  # www.gigabyte.com
104.110.132.189  # www.trendmicro.com
31.13.85.53  # www.ptt.cc
23.212.62.81  # www.mobile01.com
104.244.46.5  # www.dcard.tw
128.242.240.29  # www.pixnet.net
104.244.46.9  # www.blogspot.tw
175.99.69.14  # www.liontravel.com
45.60.49.140  # www.eztravel.com.tw
104.244.46.21  # www.colatour.com.tw
223.26.11.203  # www.settour.com.tw
61.61.101.106  # www.hotel.com.tw
60.199.163.21  # www.ezfly.com
172.64.146.234  # www.foodpanda.com.tw
104.18.12.204  # www.inline.app
104.18.8.226  # www.104.com.tw
202.153.190.10  # www.1111.com.tw
220.228.175.163  # www.518.com.tw
50.87.93.246  # www.yes123.com.tw
18.64.8.97  # www.591.com.tw
210.65.103.111  # www.sinyi.com.tw
13.32.230.77  # www.yungching.com.tw
202.55.254.160  # www.rakuya.com.tw
223.200.122.41  # www.cpami.gov.tw
203.74.221.3  # www.npa.gov.tw
124.219.114.167  # www.post.gov.tw
172.65.90.66  # www.nhi.gov.tw
